,Open,High,Low,Close,Volume,TradingDate
0,10885.0,10885.0,8030.0,9500.0,13000,2017-07-26
1,9493.0,10706.0,9493.0,9800.0,3000,2017-07-27
2,9814.0,10028.0,9814.0,9800.0,1600,2017-07-28
3,9814.0,10706.0,9814.0,10300.0,10800,2017-07-31
4,10171.0,10438.0,10171.0,10200.0,2100,2017-08-01
5,10349.0,10367.0,10349.0,10300.0,13000,2017-08-02
6,10438.0,11313.0,10349.0,10900.0,10300,2017-08-03
7,11402.0,12544.0,11402.0,12200.0,26300,2017-08-04
8,12312.0,13383.0,12044.0,12500.0,2200,2017-08-07
9,13115.0,13383.0,12490.0,12500.0,8400,2017-08-08
10,12580.0,12937.0,12508.0,12800.0,11200,2017-08-09
11,13561.0,13561.0,12490.0,12600.0,3700,2017-08-10
12,12508.0,12508.0,12490.0,12500.0,3000,2017-08-11
13,12526.0,12847.0,12526.0,12700.0,9000,2017-08-14
14,12669.0,12758.0,12669.0,12700.0,7400,2017-08-15
15,12758.0,12758.0,12669.0,12700.0,3700,2017-08-16
16,12722.0,12722.0,12722.0,12700.0,0,2017-08-17
17,12490.0,12490.0,12490.0,12500.0,1000,2017-08-18
18,12490.0,12490.0,12134.0,12300.0,1500,2017-08-21
19,12134.0,12134.0,11955.0,12100.0,2900,2017-08-22
20,12080.0,12080.0,12080.0,12100.0,0,2017-08-23
21,12080.0,12080.0,12080.0,12100.0,0,2017-08-24
22,11598.0,11598.0,11241.0,11400.0,2700,2017-08-25
23,11241.0,11420.0,11241.0,11300.0,1100,2017-08-28
24,11509.0,11509.0,11509.0,11500.0,200,2017-08-29
25,11509.0,11509.0,11509.0,11500.0,0,2017-08-30
26,9796.0,11598.0,9796.0,11200.0,700,2017-08-31
27,11598.0,11598.0,11241.0,11300.0,3300,2017-09-01
28,11259.0,11259.0,11241.0,11200.0,2000,2017-09-05
29,9564.0,11598.0,9564.0,11200.0,300,2017-09-06
30,10724.0,10724.0,10706.0,10700.0,600,2017-09-07
31,10706.0,10706.0,10706.0,10700.0,0,2017-09-08
32,10885.0,10902.0,10885.0,10900.0,500,2017-09-11
33,10867.0,10867.0,10867.0,10900.0,5300,2017-09-12
34,10920.0,10920.0,10920.0,10900.0,600,2017-09-13
35,10920.0,10920.0,10920.0,10900.0,0,2017-09-14
36,10706.0,10706.0,10706.0,10700.0,300,2017-09-15
37,10706.0,10706.0,10706.0,10700.0,4100,2017-09-18
38,10706.0,10706.0,10706.0,10700.0,300,2017-09-19
39,10706.0,10706.0,10706.0,10700.0,2300,2017-09-20
40,10706.0,10706.0,10706.0,10700.0,1000,2017-09-21
41,10706.0,10706.0,10706.0,10700.0,2300,2017-09-22
42,10706.0,10706.0,10706.0,10700.0,7500,2017-09-25
43,10706.0,10706.0,10706.0,10700.0,2300,2017-09-26
44,12134.0,12134.0,10724.0,11400.0,200,2017-09-27
45,10885.0,10885.0,10706.0,10800.0,3700,2017-09-28
46,10724.0,10742.0,10724.0,10700.0,2700,2017-09-29
47,10724.0,10724.0,10724.0,10700.0,0,2017-10-02
48,9118.0,10885.0,9118.0,10000.0,200,2017-10-03
49,10724.0,10724.0,10724.0,10700.0,200,2017-10-04
50,10724.0,10724.0,10724.0,10700.0,200,2017-10-05
51,12134.0,12134.0,10760.0,11400.0,200,2017-10-06
52,9814.0,11063.0,9814.0,10400.0,200,2017-10-09
53,11991.0,11991.0,10795.0,11000.0,1500,2017-10-10
54,10795.0,10795.0,10795.0,10800.0,700,2017-10-11
55,10795.0,10885.0,10795.0,10800.0,4000,2017-10-12
56,10885.0,10885.0,10885.0,10900.0,1000,2017-10-13
57,10902.0,11063.0,10902.0,11000.0,500,2017-10-16
58,11063.0,11099.0,11063.0,11100.0,2600,2017-10-17
59,11063.0,11063.0,11063.0,11100.0,2200,2017-10-18
60,11063.0,11152.0,11063.0,11100.0,1200,2017-10-19
61,11152.0,11224.0,11063.0,11100.0,2400,2017-10-20
62,11063.0,11063.0,11063.0,11100.0,2600,2017-10-23
63,9885.0,10885.0,9885.0,10400.0,200,2017-10-24
64,10528.0,10528.0,10528.0,10500.0,400,2017-10-25
65,10706.0,10706.0,10706.0,10700.0,600,2017-10-26
66,10706.0,10885.0,10706.0,10900.0,2100,2017-10-27
67,10885.0,10885.0,10885.0,10900.0,1700,2017-10-30
68,10885.0,10885.0,10885.0,10900.0,500,2017-10-31
69,10885.0,10885.0,10885.0,10900.0,0,2017-11-01
70,10885.0,10885.0,10885.0,10900.0,0,2017-11-02
71,9261.0,10885.0,9261.0,10800.0,2900,2017-11-03
72,10885.0,11331.0,10885.0,11200.0,2200,2017-11-06
73,11420.0,11420.0,11331.0,11400.0,1300,2017-11-07
74,11420.0,11420.0,11420.0,11400.0,600,2017-11-08
75,11420.0,11509.0,11420.0,11400.0,3000,2017-11-09
76,11456.0,12134.0,11456.0,11600.0,6100,2017-11-10
77,11688.0,11688.0,11688.0,11700.0,200,2017-11-13
78,12134.0,12134.0,12134.0,12100.0,900,2017-11-14
79,12134.0,12134.0,12134.0,12100.0,400,2017-11-15
80,10314.0,12490.0,10314.0,11400.0,200,2017-11-16
81,13026.0,13026.0,13026.0,13000.0,100,2017-11-17
82,11099.0,11117.0,11081.0,11100.0,1000,2017-11-20
83,11099.0,11099.0,11099.0,11100.0,0,2017-11-21
84,11152.0,11152.0,11152.0,11200.0,100,2017-11-22
85,12562.0,12562.0,12562.0,12600.0,100,2017-11-23
86,11188.0,11777.0,11188.0,11500.0,200,2017-11-24
87,11241.0,11241.0,11241.0,11200.0,100,2017-11-27
88,11598.0,11598.0,11598.0,11600.0,100,2017-11-28
89,11241.0,11241.0,11241.0,11200.0,200,2017-11-29
90,11241.0,11241.0,11241.0,11200.0,200,2017-11-30
91,11420.0,11598.0,11420.0,11500.0,3000,2017-12-01
92,11652.0,11652.0,11652.0,11700.0,2000,2017-12-04
93,11473.0,11473.0,11295.0,11400.0,2000,2017-12-05
94,11598.0,11598.0,11598.0,11600.0,2700,2017-12-06
95,11598.0,11598.0,11598.0,11600.0,2100,2017-12-07
96,11598.0,11598.0,11598.0,11600.0,400,2017-12-08
97,9885.0,9885.0,9885.0,9900.0,100,2017-12-11
98,10885.0,10885.0,10885.0,10900.0,100,2017-12-12
99,11598.0,11741.0,11598.0,11700.0,6700,2017-12-13
100,11741.0,11866.0,11741.0,11800.0,5300,2017-12-14
101,11795.0,11795.0,11795.0,11800.0,0,2017-12-15
102,11795.0,11795.0,11795.0,11800.0,0,2017-12-18
103,12490.0,12490.0,11777.0,11900.0,2300,2017-12-19
104,12134.0,12134.0,12116.0,12100.0,1900,2017-12-20
105,12134.0,12134.0,12134.0,12100.0,900,2017-12-21
106,12134.0,12134.0,11598.0,11800.0,1200,2017-12-22
107,11848.0,11848.0,11848.0,11800.0,0,2017-12-25
108,11848.0,11848.0,11848.0,11800.0,0,2017-12-26
109,12169.0,12169.0,12134.0,12100.0,600,2017-12-27
110,12134.0,12134.0,12134.0,12100.0,5000,2017-12-28
111,12134.0,12134.0,12134.0,12100.0,1000,2017-12-29
112,12223.0,12223.0,12223.0,12200.0,400,2018-01-02
113,12312.0,12312.0,12312.0,12300.0,500,2018-01-03
114,12490.0,12490.0,12312.0,12300.0,1400,2018-01-04
115,12366.0,12401.0,12366.0,12400.0,1300,2018-01-05
116,12490.0,12490.0,12473.0,12500.0,600,2018-01-08
117,12490.0,12490.0,12490.0,12500.0,300,2018-01-09
118,10885.0,10885.0,10885.0,10900.0,100,2018-01-10
119,11598.0,11598.0,11598.0,11600.0,800,2018-01-11
120,12871.0,12871.0,12871.0,12900.0,100,2018-01-12
121,10944.0,12908.0,10944.0,12200.0,300,2018-01-15
122,12198.0,12815.0,12198.0,12800.0,1600,2018-01-16
123,12815.0,12815.0,12815.0,12800.0,800,2018-01-17
124,12721.0,12721.0,12721.0,12700.0,200,2018-01-18
125,12721.0,12721.0,12721.0,12700.0,1200,2018-01-19
126,12908.0,12908.0,12908.0,12900.0,2600,2018-01-22
127,13095.0,13095.0,13058.0,13100.0,1300,2018-01-23
128,13095.0,13095.0,13095.0,13100.0,2000,2018-01-24
129,13095.0,13095.0,13095.0,13100.0,1700,2018-01-25
130,13095.0,13095.0,13095.0,13100.0,600,2018-01-26
131,11131.0,11131.0,11131.0,11100.0,100,2018-01-29
132,12796.0,12796.0,12796.0,12800.0,3400,2018-01-30
133,12796.0,12796.0,12796.0,12800.0,0,2018-01-31
134,13095.0,13095.0,13095.0,13100.0,500,2018-02-01
135,11131.0,14592.0,11131.0,13800.0,900,2018-02-02
136,14031.0,14031.0,14031.0,14000.0,400,2018-02-05
137,14031.0,14031.0,14031.0,14000.0,0,2018-02-06
138,14031.0,14031.0,14031.0,14000.0,0,2018-02-07
139,11992.0,11992.0,11992.0,12000.0,100,2018-02-08
140,13750.0,13750.0,13750.0,13800.0,100,2018-02-09
141,11692.0,15771.0,11692.0,13900.0,2200,2018-02-12
142,13488.0,13488.0,13470.0,13500.0,1200,2018-02-13
143,13470.0,13470.0,13470.0,13500.0,0,2018-02-21
144,13470.0,13470.0,13470.0,13500.0,0,2018-02-22
145,13470.0,13470.0,13470.0,13500.0,0,2018-02-23
146,13095.0,13095.0,13095.0,13100.0,100,2018-02-26
147,12908.0,12908.0,12908.0,12900.0,300,2018-02-27
148,12908.0,12908.0,12908.0,12900.0,300,2018-02-28
149,12908.0,12908.0,12908.0,12900.0,0,2018-03-01
150,13283.0,13806.0,13283.0,13500.0,200,2018-03-02
151,13357.0,13357.0,13357.0,13400.0,100,2018-03-05
152,13283.0,13283.0,13283.0,13300.0,400,2018-03-06
153,13283.0,13993.0,13283.0,13600.0,400,2018-03-07
154,11711.0,11711.0,11711.0,11700.0,100,2018-03-08
155,13451.0,13451.0,13451.0,13500.0,100,2018-03-09
156,11917.0,13975.0,11917.0,13300.0,300,2018-03-12
157,11992.0,11992.0,11992.0,12000.0,100,2018-03-13
158,13638.0,13657.0,13638.0,13600.0,200,2018-03-14
159,12010.0,12010.0,12010.0,12000.0,100,2018-03-15
160,13788.0,13788.0,13788.0,13800.0,200,2018-03-16
161,12272.0,14031.0,12272.0,13900.0,2200,2018-03-19
162,13732.0,13937.0,13732.0,13900.0,1500,2018-03-20
163,12459.0,14293.0,12459.0,13800.0,400,2018-03-21
164,14368.0,14405.0,14368.0,14400.0,2900,2018-03-22
165,14405.0,14405.0,14368.0,14400.0,1500,2018-03-23
166,13114.0,14948.0,13114.0,14300.0,400,2018-03-26
167,14742.0,14742.0,14742.0,14700.0,100,2018-03-27
168,13114.0,16931.0,13114.0,15600.0,300,2018-03-28
169,13283.0,14031.0,13283.0,13700.0,200,2018-03-29
170,14966.0,14966.0,14966.0,15000.0,200,2018-03-30
171,16987.0,16987.0,16987.0,17000.0,100,2018-04-02
172,14442.0,19512.0,14442.0,14800.0,1300,2018-04-03
173,14442.0,14442.0,14442.0,14400.0,400,2018-04-04
174,14442.0,14442.0,14442.0,14400.0,0,2018-04-05
175,16425.0,16425.0,16425.0,16400.0,100,2018-04-06
176,13975.0,13993.0,13975.0,14000.0,200,2018-04-09
177,13993.0,13993.0,13993.0,14000.0,16000,2018-04-10
178,13993.0,14031.0,13993.0,14000.0,600,2018-04-11
179,12085.0,12085.0,12085.0,12100.0,100,2018-04-12
180,12086.0,12086.0,12086.0,12100.0,0,2018-04-13
181,13881.0,13881.0,13881.0,13900.0,300,2018-04-16
182,13881.0,13881.0,13881.0,13900.0,0,2018-04-17
183,14132.0,15928.0,14132.0,15300.0,400,2018-04-18
184,14209.0,14287.0,14209.0,14200.0,2000,2018-04-19
185,14248.0,14248.0,14248.0,14200.0,0,2018-04-20
186,14248.0,14248.0,14248.0,14200.0,0,2018-04-23
187,14248.0,14248.0,14248.0,14200.0,0,2018-04-24
188,14480.0,14480.0,14480.0,14500.0,400,2018-04-26
189,14480.0,14480.0,14480.0,14500.0,0,2018-04-27
190,14480.0,14480.0,14480.0,14500.0,0,2018-05-02
191,14480.0,14480.0,14480.0,14500.0,100,2018-05-03
192,14480.0,14480.0,14480.0,14500.0,0,2018-05-04
193,14673.0,14673.0,14673.0,14700.0,100,2018-05-07
194,14673.0,14673.0,14673.0,14700.0,0,2018-05-08
195,16758.0,16758.0,16758.0,16800.0,100,2018-05-09
196,14267.0,14480.0,14267.0,14400.0,600,2018-05-10
197,14673.0,14673.0,14480.0,14600.0,500,2018-05-11
198,14634.0,14634.0,14634.0,14600.0,0,2018-05-14
199,12858.0,14480.0,12858.0,13700.0,200,2018-05-15
200,13669.0,13669.0,13669.0,13700.0,0,2018-05-16
201,14480.0,14480.0,14480.0,14500.0,800,2018-05-17
202,14364.0,14364.0,14364.0,14400.0,100,2018-05-18
203,12858.0,12858.0,12858.0,12900.0,100,2018-05-21
204,12858.0,12858.0,12858.0,12900.0,0,2018-05-22
205,12858.0,12858.0,12858.0,12900.0,0,2018-05-23
206,14364.0,14460.0,14364.0,14400.0,600,2018-05-24
207,14441.0,14441.0,14441.0,14400.0,0,2018-05-25
208,13746.0,14267.0,13707.0,13800.0,3100,2018-05-28
209,14673.0,14673.0,14673.0,14700.0,1000,2018-05-29
210,14769.0,14769.0,14769.0,14800.0,1000,2018-05-30
211,14769.0,14769.0,14769.0,14800.0,100,2018-05-31
212,12858.0,12858.0,12858.0,12900.0,100,2018-06-01
213,12858.0,12858.0,12858.0,12900.0,0,2018-06-04
214,12858.0,12858.0,12858.0,12900.0,0,2018-06-05
215,12858.0,12858.0,12858.0,12900.0,0,2018-06-06
216,13437.0,13437.0,13437.0,13400.0,100,2018-06-07
217,14480.0,14480.0,14480.0,14500.0,500,2018-06-08
218,14480.0,14480.0,14480.0,14500.0,100,2018-06-11
219,12626.0,12626.0,12626.0,12600.0,100,2018-06-12
220,12626.0,12626.0,12626.0,12600.0,0,2018-06-13
221,12626.0,12626.0,12626.0,12600.0,0,2018-06-14
222,12626.0,12626.0,12626.0,12600.0,0,2018-06-15
223,14171.0,14171.0,14171.0,14200.0,100,2018-06-18
224,14171.0,14171.0,14171.0,14200.0,0,2018-06-19
225,14866.0,15233.0,14866.0,15000.0,700,2018-06-20
226,12839.0,12839.0,12839.0,12800.0,100,2018-06-21
227,12839.0,12839.0,12839.0,12800.0,0,2018-06-22
228,11391.0,11391.0,11391.0,11400.0,100,2018-06-25
229,13070.0,13070.0,11815.0,12400.0,200,2018-06-26
230,14287.0,14287.0,14287.0,14300.0,100,2018-06-27
231,12761.0,14480.0,12761.0,13600.0,200,2018-06-28
232,13707.0,13707.0,13707.0,13700.0,100,2018-06-29
233,13707.0,13707.0,13707.0,13700.0,0,2018-07-02
234,12665.0,14460.0,12665.0,13600.0,200,2018-07-03
235,12665.0,12665.0,12665.0,12700.0,100,2018-07-04
236,14538.0,14557.0,14538.0,14500.0,400,2018-07-05
237,12897.0,14460.0,12897.0,13700.0,200,2018-07-06
238,14460.0,14460.0,14460.0,14500.0,100,2018-07-09
239,14460.0,14460.0,14460.0,14500.0,0,2018-07-10
240,12935.0,14480.0,12935.0,13700.0,200,2018-07-11
241,13070.0,13070.0,13070.0,13100.0,100,2018-07-12
242,13070.0,13070.0,13070.0,13100.0,0,2018-07-13
243,14576.0,14576.0,14576.0,14600.0,100,2018-07-16
244,14460.0,14460.0,14460.0,14500.0,100,2018-07-17
245,13148.0,13148.0,13148.0,13100.0,100,2018-07-18
246,13148.0,13148.0,13148.0,13100.0,0,2018-07-19
247,13148.0,13148.0,13148.0,13100.0,0,2018-07-20
248,14460.0,14460.0,14460.0,13100.0,100,2018-07-23
249,13148.0,13148.0,13148.0,13100.0,100,2018-07-24
250,13148.0,13148.0,13148.0,13100.0,0,2018-07-25
251,13148.0,13148.0,13148.0,13100.0,0,2018-07-26
252,14460.0,14460.0,14460.0,14500.0,100,2018-07-27
253,14460.0,14460.0,14460.0,14500.0,0,2018-07-30
254,16603.0,16603.0,15233.0,15500.0,600,2018-07-31
255,15252.0,15252.0,14480.0,15100.0,400,2018-08-01
256,13514.0,13514.0,13514.0,13500.0,100,2018-08-02
257,13514.0,13514.0,13514.0,13500.0,0,2018-08-03
258,13514.0,13514.0,13514.0,13500.0,0,2018-08-06
259,13514.0,13514.0,13514.0,13500.0,0,2018-08-07
260,13514.0,13514.0,13514.0,13500.0,0,2018-08-08
261,13514.0,13514.0,13514.0,13500.0,0,2018-08-09
262,13514.0,13514.0,13514.0,13500.0,0,2018-08-10
263,13514.0,13514.0,13514.0,13500.0,0,2018-08-13
264,13514.0,13514.0,13514.0,13500.0,0,2018-08-14
265,15503.0,15542.0,15503.0,15500.0,34300,2018-08-15
266,15542.0,15542.0,15542.0,15500.0,600,2018-08-16
267,15542.0,15542.0,15542.0,15500.0,700,2018-08-17
268,16410.0,17858.0,16410.0,17800.0,2100,2018-08-20
269,19287.0,20426.0,19287.0,20200.0,6200,2018-08-21
270,19692.0,22781.0,19692.0,21200.0,200,2018-08-22
271,19499.0,22202.0,19499.0,20900.0,200,2018-08-23
272,21237.0,21237.0,21237.0,21200.0,400,2018-08-24
273,18109.0,18148.0,18109.0,18100.0,500,2018-08-27
274,20465.0,20465.0,20465.0,20500.0,2600,2018-08-28
275,17453.0,21623.0,17453.0,21200.0,4300,2018-08-29
276,21237.0,22395.0,21237.0,22300.0,3800,2018-08-30
277,22704.0,23168.0,22704.0,22900.0,5100,2018-08-31
278,22781.0,22781.0,22781.0,22800.0,600,2018-09-04
279,19384.0,23129.0,19384.0,21300.0,200,2018-09-05
280,18148.0,22395.0,18148.0,21400.0,700,2018-09-06
281,18534.0,18534.0,18534.0,18500.0,100,2018-09-07
282,21237.0,21237.0,20079.0,20600.0,700,2018-09-10
283,21198.0,21198.0,21198.0,21200.0,100,2018-09-11
284,21198.0,21198.0,21198.0,21200.0,100,2018-09-12
285,18534.0,21623.0,18534.0,20600.0,300,2018-09-13
286,18534.0,21237.0,18534.0,20600.0,400,2018-09-14
287,18534.0,20079.0,18534.0,19600.0,300,2018-09-17
288,18534.0,20272.0,18534.0,19700.0,600,2018-09-18
289,19692.0,19692.0,19692.0,19700.0,100,2018-09-19
290,20079.0,20079.0,19692.0,19900.0,1100,2018-09-20
291,19847.0,20040.0,19692.0,19900.0,2800,2018-09-21
292,19886.0,19886.0,19886.0,19900.0,200,2018-09-24
293,20465.0,20465.0,20465.0,20500.0,1000,2018-09-25
294,20465.0,21005.0,18534.0,19600.0,2400,2018-09-26
295,20079.0,20079.0,20079.0,20100.0,300,2018-09-27
296,19306.0,20079.0,19306.0,20000.0,6500,2018-09-28
297,20079.0,20079.0,20079.0,20100.0,3200,2018-10-01
298,17993.0,17993.0,17993.0,18000.0,100,2018-10-02
299,20194.0,20194.0,20194.0,20200.0,100,2018-10-03
300,18534.0,20156.0,18534.0,19600.0,300,2018-10-04
301,19886.0,19886.0,19692.0,19900.0,7100,2018-10-05
302,19886.0,19886.0,19886.0,19900.0,2000,2018-10-08
303,19886.0,19886.0,19886.0,19900.0,1000,2018-10-09
304,19886.0,19886.0,19886.0,19900.0,2000,2018-10-10
305,19886.0,19886.0,19692.0,19800.0,2400,2018-10-11
