,Open,High,Low,Close,Volume,TradingDate
0,6786.0,6868.0,5246.0,5985.0,92100,2009-05-14
1,6315.0,6315.0,6315.0,6315.0,16400,2009-05-15
2,6739.0,6739.0,6739.0,6739.0,9200,2009-05-18
3,7211.0,7211.0,7211.0,7211.0,8800,2009-05-19
4,7705.0,7705.0,7705.0,7705.0,97400,2009-05-20
5,8224.0,8224.0,8224.0,8224.0,56300,2009-05-21
6,8789.0,8826.0,8282.0,8518.0,140400,2009-05-22
7,8954.0,8641.0,7640.0,8436.0,47800,2009-05-25
8,8719.0,8892.0,8411.0,8483.0,56500,2009-05-26
9,8247.0,8477.0,7880.0,8071.0,33000,2009-05-27
10,7870.0,8031.0,7574.0,7647.0,24500,2009-05-28
11,7588.0,7738.0,7113.0,7281.0,43800,2009-05-29
12,7540.0,7611.0,7517.0,7588.0,13700,2009-06-01
13,8130.0,8057.0,7543.0,7870.0,34900,2009-06-02
14,7941.0,7929.0,7529.0,7741.0,26400,2009-06-03
15,8200.0,8260.0,7764.0,8000.0,55500,2009-06-04
16,8295.0,8342.0,8200.0,8271.0,90700,2009-06-05
17,8483.0,8740.0,8181.0,8554.0,152500,2009-06-08
18,9072.0,9287.0,8443.0,8660.0,38600,2009-06-09
19,7894.0,7917.0,7870.0,7894.0,11000,2009-06-10
20,8012.0,8247.0,7876.0,8200.0,21800,2009-06-11
21,8365.0,8459.0,7776.0,7965.0,45400,2009-06-12
22,7965.0,7965.0,7423.0,7446.0,46000,2009-06-15
23,7753.0,7753.0,6928.0,7069.0,20200,2009-06-16
24,6574.0,7069.0,6574.0,6786.0,37100,2009-06-17
25,7069.0,7258.0,7069.0,7211.0,20100,2009-06-18
26,7305.0,7305.0,6739.0,7046.0,13300,2009-06-19
27,6645.0,6645.0,6574.0,6574.0,18500,2009-06-22
28,6150.0,6150.0,6127.0,6127.0,15600,2009-06-23
29,5702.0,6480.0,5702.0,6127.0,39000,2009-06-24
30,6127.0,6127.0,5891.0,5985.0,17300,2009-06-25
31,6315.0,6315.0,6127.0,6174.0,9000,2009-06-26
32,5773.0,5915.0,5773.0,5867.0,4000,2009-06-29
33,6009.0,6009.0,5467.0,5797.0,10400,2009-06-30
34,5420.0,6080.0,5396.0,5396.0,25800,2009-07-01
35,5838.0,5738.0,5640.0,5689.0,9300,2009-07-02
36,5726.0,5726.0,5420.0,5585.0,2600,2009-07-03
37,5844.0,5962.0,5844.0,5938.0,5200,2009-07-06
38,5938.0,5938.0,5797.0,5891.0,9000,2009-07-07
39,5962.0,5962.0,5538.0,5608.0,2400,2009-07-08
40,5891.0,5985.0,5773.0,5938.0,15100,2009-07-09
41,5679.0,5750.0,5561.0,5632.0,10900,2009-07-10
42,5891.0,5891.0,5302.0,5325.0,6200,2009-07-13
43,5208.0,5396.0,5208.0,5255.0,20300,2009-07-14
44,5278.0,5608.0,5255.0,5585.0,17700,2009-07-15
45,5962.0,5962.0,5773.0,5915.0,19200,2009-07-16
46,6315.0,6315.0,5915.0,5985.0,13300,2009-07-17
47,5655.0,5655.0,5585.0,5585.0,2800,2009-07-20
