,Open,High,Low,Close,Volume,TradingDate
0,14163.0,14163.0,6118.0,7600.0,21500,2017-07-14
1,6453.0,6453.0,6453.0,6500.0,18300,2017-07-17
2,5531.0,5531.0,5531.0,5500.0,15600,2017-07-18
3,5280.0,6285.0,5280.0,5500.0,3800,2017-07-19
4,5531.0,5531.0,5531.0,5500.0,11100,2017-07-20
5,5112.0,5364.0,4777.0,5000.0,3400,2017-07-21
6,4945.0,4945.0,4945.0,4900.0,600,2017-07-24
7,5531.0,5531.0,5531.0,5500.0,1000,2017-07-25
8,6034.0,6118.0,5866.0,6100.0,1500,2017-07-26
9,6621.0,6621.0,6621.0,6600.0,500,2017-07-27
10,5783.0,5783.0,5699.0,5700.0,400,2017-07-28
11,6369.0,6369.0,6369.0,6400.0,300,2017-07-31
12,6369.0,6369.0,6369.0,6400.0,0,2017-08-01
13,5447.0,5531.0,5447.0,5400.0,6200,2017-08-02
14,6034.0,6034.0,5447.0,5700.0,600,2017-08-03
15,5950.0,5950.0,4945.0,5000.0,10300,2017-08-04
16,5196.0,5364.0,5196.0,5300.0,3200,2017-08-07
17,5783.0,5783.0,4693.0,5000.0,5700,2017-08-08
18,4945.0,4945.0,4945.0,4900.0,0,2017-08-09
19,4693.0,4777.0,4693.0,4700.0,3400,2017-08-10
20,5196.0,5364.0,5196.0,5300.0,4300,2017-08-11
21,5699.0,5699.0,5699.0,5700.0,8400,2017-08-14
22,5699.0,5699.0,5699.0,5700.0,0,2017-08-15
23,5447.0,5447.0,5447.0,5400.0,6000,2017-08-16
24,5447.0,5447.0,5447.0,5400.0,2000,2017-08-17
25,5447.0,5447.0,5447.0,5400.0,0,2017-08-18
26,5364.0,5364.0,5364.0,5400.0,5000,2017-08-21
27,5028.0,5028.0,5028.0,5000.0,4200,2017-08-22
28,4609.0,5112.0,4609.0,5000.0,8100,2017-08-23
29,5028.0,5196.0,5028.0,5100.0,8000,2017-08-24
30,5112.0,5112.0,5028.0,5000.0,5200,2017-08-25
31,5028.0,5028.0,5028.0,5000.0,8100,2017-08-28
32,5028.0,5028.0,5028.0,5000.0,1300,2017-08-29
33,4861.0,5028.0,4861.0,5000.0,10500,2017-08-30
34,4861.0,4861.0,4861.0,4900.0,3000,2017-08-31
