,Open,High,Low,Close,Volume,TradingDate
0,16251.0,16251.0,16251.0,16251.0,600,2019-01-14
1,17835.0,17835.0,17835.0,17835.0,100,2019-01-15
2,19585.0,19585.0,19585.0,19585.0,1100,2019-01-16
3,21502.0,21502.0,21502.0,21502.0,29500,2019-01-17
4,23585.0,23585.0,23585.0,23585.0,28900,2019-01-18
5,25919.0,27288.0,25182.0,25669.0,14000,2019-01-21
6,23752.0,27654.0,25058.0,25669.0,79600,2019-01-22
7,25419.0,24759.0,23076.0,24169.0,10400,2019-01-23
8,25002.0,25267.0,23667.0,24169.0,27600,2019-01-24
9,23419.0,25383.0,23935.0,24169.0,23100,2019-01-25
10,24919.0,24335.0,23766.0,24335.0,1000,2019-01-28
11,23419.0,22919.0,22429.0,22919.0,3200,2019-01-29
12,24169.0,24776.0,23516.0,24169.0,21000,2019-01-30
13,24169.0,24290.0,23466.0,23752.0,10900,2019-01-31
14,23752.0,25047.0,24198.0,24585.0,13000,2019-02-01
15,24419.0,27219.0,24349.0,25919.0,24900,2019-02-11
16,24252.0,25788.0,24584.0,25002.0,40700,2019-02-12
17,24169.0,25969.0,24666.0,24919.0,19200,2019-02-13
18,24502.0,24632.0,24045.0,24335.0,1500,2019-02-14
19,23752.0,25397.0,24371.0,24752.0,12100,2019-02-15
20,24752.0,24752.0,24752.0,24752.0,0,2019-02-18
21,24585.0,24398.0,23248.0,23669.0,12900,2019-02-19
22,24502.0,24497.0,23747.0,23835.0,6000,2019-02-20
23,23835.0,24382.0,23798.0,23835.0,2100,2019-02-21
24,24169.0,24329.0,23827.0,24085.0,10200,2019-02-22
25,24002.0,24355.0,23763.0,23835.0,12600,2019-02-25
26,23835.0,23728.0,23232.0,23419.0,9700,2019-02-26
27,23585.0,25112.0,23835.0,24335.0,47020,2019-02-27
28,24002.0,24398.0,24062.0,24169.0,19700,2019-02-28
29,24002.0,24613.0,24025.0,24335.0,41000,2019-03-01
30,24085.0,25130.0,24275.0,24502.0,65700,2019-03-04
31,24419.0,25254.0,24488.0,24752.0,44800,2019-03-05
32,24919.0,25146.0,24642.0,24752.0,13700,2019-03-06
33,24752.0,24945.0,24610.0,24752.0,8500,2019-03-07
34,24419.0,25593.0,24823.0,24919.0,11600,2019-03-08
35,24752.0,27504.0,24317.0,24919.0,12300,2019-03-11
36,24419.0,24791.0,24287.0,24502.0,16030,2019-03-12
37,24252.0,25346.0,24665.0,24835.0,23200,2019-03-13
38,24419.0,25449.0,23997.0,24585.0,35000,2019-03-14
39,24502.0,25245.0,24485.0,24919.0,38900,2019-03-15
40,24169.0,25708.0,24586.0,24752.0,49201,2019-03-18
41,23919.0,24571.0,24063.0,24169.0,22300,2019-03-19
42,23752.0,24310.0,23888.0,24002.0,8900,2019-03-20
43,24002.0,23724.0,22900.0,23169.0,22300,2019-03-21
44,23419.0,23526.0,22689.0,23169.0,13000,2019-03-22
45,22502.0,24319.0,22663.0,23169.0,10200,2019-03-25
46,23169.0,23425.0,22421.0,23169.0,14100,2019-03-26
47,23085.0,23491.0,23070.0,23252.0,14700,2019-03-27
48,23002.0,23410.0,22652.0,23169.0,14800,2019-03-28
49,22335.0,22658.0,21513.0,21918.0,11000,2019-03-29
50,22502.0,22710.0,22037.0,22418.0,17500,2019-04-01
51,22252.0,22090.0,21357.0,21835.0,19000,2019-04-02
52,22252.0,22361.0,21942.0,22002.0,800,2019-04-03
53,22252.0,22191.0,21609.0,21668.0,4300,2019-04-04
54,21668.0,21886.0,21549.0,21668.0,2700,2019-04-05
55,21585.0,25528.0,21663.0,23002.0,33400,2019-04-08
56,23002.0,23574.0,22391.0,23085.0,24400,2019-04-09
57,23335.0,23638.0,22794.0,23085.0,17300,2019-04-10
58,22919.0,23685.0,22758.0,23002.0,28200,2019-04-11
