,Open,High,Low,Close,Volume,TradingDate
0,4878.0,4878.0,4878.0,4878.0,307840,2007-09-19
1,5112.0,5112.0,5073.0,5112.0,794790,2007-09-20
2,5346.0,5346.0,5268.0,5346.0,1224660,2007-09-21
3,5581.0,5581.0,5581.0,5581.0,551130,2007-09-24
4,5854.0,5854.0,5776.0,5854.0,962110,2007-09-25
5,6127.0,6127.0,6010.0,6127.0,781900,2007-09-26
6,6049.0,6127.0,5854.0,5854.0,562590,2007-09-27
7,6010.0,6127.0,5971.0,6127.0,833570,2007-09-28
8,6400.0,6400.0,6361.0,6400.0,781020,2007-10-01
9,6712.0,6712.0,6556.0,6712.0,887990,2007-10-02
10,7025.0,7025.0,6986.0,7025.0,1027610,2007-10-03
11,7376.0,7376.0,7376.0,7376.0,1206640,2007-10-04
12,7727.0,7727.0,7376.0,7532.0,1116040,2007-10-05
13,7493.0,7688.0,7376.0,7532.0,949940,2007-10-08
14,7181.0,7415.0,7181.0,7181.0,527100,2007-10-09
15,7181.0,7337.0,7142.0,7181.0,599460,2007-10-10
16,6986.0,7142.0,6986.0,6986.0,362850,2007-10-11
17,7025.0,7025.0,6907.0,7025.0,527800,2007-10-12
18,7025.0,7220.0,7025.0,7220.0,326950,2007-10-15
19,7220.0,7220.0,7064.0,7064.0,236970,2007-10-16
20,6946.0,7025.0,6946.0,6946.0,272570,2007-10-17
21,6868.0,7103.0,6829.0,6829.0,398500,2007-10-18
22,7142.0,7142.0,6946.0,7142.0,525830,2007-10-19
23,7025.0,7025.0,6946.0,7025.0,280000,2007-10-22
24,6868.0,6946.0,6829.0,6829.0,192730,2007-10-23
25,6868.0,7025.0,6829.0,6907.0,182750,2007-10-24
26,6907.0,6946.0,6790.0,6790.0,163650,2007-10-25
27,6751.0,6751.0,6673.0,6673.0,212630,2007-10-26
28,6361.0,6517.0,6361.0,6361.0,457260,2007-10-29
29,6361.0,6478.0,6361.0,6400.0,146250,2007-10-30
30,6400.0,6439.0,6322.0,6322.0,140770,2007-10-31
31,6361.0,6400.0,6166.0,6283.0,195380,2007-11-01
32,6205.0,6244.0,6127.0,6127.0,197100,2007-11-02
33,6400.0,6400.0,6400.0,6400.0,66650,2007-11-05
34,6712.0,6712.0,6712.0,6712.0,70540,2007-11-06
35,6478.0,6634.0,6478.0,6478.0,444180,2007-11-07
36,6439.0,6439.0,6322.0,6322.0,170020,2007-11-08
37,6322.0,6556.0,6322.0,6556.0,316190,2007-11-09
38,6439.0,6478.0,6361.0,6361.0,96340,2007-11-12
39,6283.0,6283.0,6049.0,6049.0,167790,2007-11-13
40,6205.0,6322.0,6205.0,6205.0,296610,2007-11-14
41,6244.0,6244.0,6166.0,6244.0,138080,2007-11-15
42,6244.0,6244.0,6166.0,6205.0,93360,2007-11-16
43,6244.0,6244.0,6205.0,6205.0,103860,2007-11-19
44,6127.0,6166.0,6088.0,6127.0,73830,2007-11-20
45,5971.0,6049.0,5932.0,6049.0,193670,2007-11-21
46,6127.0,6166.0,6049.0,6049.0,60070,2007-11-22
47,6322.0,6322.0,6322.0,6322.0,122430,2007-11-23
48,6634.0,6634.0,6439.0,6634.0,594620,2007-11-26
49,6595.0,6634.0,6478.0,6595.0,359580,2007-11-27
50,6517.0,6556.0,6439.0,6439.0,237300,2007-11-28
51,6478.0,6517.0,6244.0,6244.0,319240,2007-11-29
52,6244.0,6283.0,6205.0,6244.0,485160,2007-11-30
53,6166.0,6322.0,6127.0,6244.0,181120,2007-12-03
54,6283.0,6283.0,6244.0,6244.0,241890,2007-12-04
55,6244.0,6244.0,6127.0,6127.0,263870,2007-12-05
56,6127.0,6166.0,6088.0,6127.0,164670,2007-12-06
57,6127.0,6205.0,6088.0,6127.0,402370,2007-12-07
58,6127.0,6166.0,6049.0,6049.0,182810,2007-12-10
59,5971.0,6010.0,5893.0,5971.0,297280,2007-12-11
60,6010.0,6166.0,6010.0,6088.0,127990,2007-12-12
61,6088.0,6127.0,6049.0,6049.0,303550,2007-12-13
62,6049.0,6088.0,6010.0,6088.0,185510,2007-12-14
63,6049.0,6049.0,6010.0,6049.0,157580,2007-12-17
64,6010.0,6088.0,6010.0,6088.0,154370,2007-12-18
65,6166.0,6205.0,6127.0,6205.0,167140,2007-12-19
66,6205.0,6244.0,6088.0,6127.0,191390,2007-12-20
67,6088.0,6127.0,6088.0,6127.0,220330,2007-12-21
68,6127.0,6166.0,6088.0,6127.0,155160,2007-12-24
69,6088.0,6127.0,6049.0,6049.0,166750,2007-12-25
70,6049.0,6088.0,6010.0,6088.0,141200,2007-12-26
71,6049.0,6088.0,6049.0,6049.0,146490,2007-12-27
72,6010.0,6049.0,6010.0,6049.0,220180,2007-12-28
73,6088.0,6127.0,6049.0,6127.0,156160,2008-01-02
74,6049.0,6088.0,6010.0,6010.0,111990,2008-01-03
75,5971.0,5971.0,5932.0,5932.0,66670,2008-01-04
76,5893.0,5932.0,5776.0,5854.0,117490,2008-01-07
77,5854.0,6010.0,5854.0,5893.0,109010,2008-01-08
78,5893.0,5932.0,5815.0,5815.0,56360,2008-01-09
79,5620.0,5698.0,5581.0,5581.0,291740,2008-01-10
80,5620.0,5698.0,5620.0,5659.0,78900,2008-01-11
81,5854.0,5854.0,5659.0,5659.0,215790,2008-01-14
82,5464.0,5503.0,5385.0,5424.0,199290,2008-01-15
83,5581.0,5659.0,5581.0,5659.0,171870,2008-01-16
84,5893.0,5932.0,5503.0,5659.0,248700,2008-01-17
85,5659.0,5776.0,5581.0,5737.0,187430,2008-01-18
86,5659.0,5659.0,5581.0,5581.0,189070,2008-01-21
87,5430.0,5543.0,5430.0,5458.0,165780,2008-01-22
88,5373.0,5401.0,5232.0,5232.0,227280,2008-01-23
89,5232.0,5373.0,5232.0,5232.0,125020,2008-01-24
90,5232.0,5317.0,5232.0,5317.0,84860,2008-01-25
91,5317.0,5317.0,5260.0,5317.0,106560,2008-01-28
92,5260.0,5401.0,5260.0,5401.0,188520,2008-01-29
93,5656.0,5656.0,5656.0,5656.0,67320,2008-01-30
94,5543.0,5826.0,5486.0,5826.0,181330,2008-01-31
95,5882.0,6108.0,5826.0,6108.0,158800,2008-02-01
96,5995.0,5995.0,5882.0,5939.0,109200,2008-02-12
97,5826.0,5939.0,5769.0,5882.0,133470,2008-02-13
98,5882.0,6052.0,5882.0,5939.0,64140,2008-02-14
99,5882.0,5939.0,5882.0,5882.0,98660,2008-02-15
100,5713.0,5713.0,5628.0,5713.0,106770,2008-02-18
101,5543.0,5769.0,5543.0,5713.0,84920,2008-02-19
102,5713.0,5769.0,5628.0,5656.0,186550,2008-02-20
103,5373.0,5373.0,5373.0,5373.0,307420,2008-02-21
104,5204.0,5204.0,5119.0,5204.0,90510,2008-02-22
105,5458.0,5458.0,5458.0,5458.0,55810,2008-02-25
106,5430.0,5543.0,5345.0,5430.0,144900,2008-02-26
107,5317.0,5599.0,5317.0,5430.0,63040,2008-02-27
108,5486.0,5515.0,5430.0,5515.0,68010,2008-02-28
109,5430.0,5486.0,5430.0,5430.0,137890,2008-02-29
110,5373.0,5373.0,5175.0,5175.0,120440,2008-03-03
111,4921.0,5175.0,4921.0,4921.0,208800,2008-03-04
112,4694.0,4921.0,4694.0,4808.0,270640,2008-03-05
113,5034.0,5034.0,5034.0,5034.0,11150,2008-03-06
114,5260.0,5260.0,5260.0,5260.0,113590,2008-03-07
115,5515.0,5515.0,5317.0,5430.0,326010,2008-03-10
116,5260.0,5317.0,5232.0,5288.0,100450,2008-03-11
117,5204.0,5486.0,5204.0,5288.0,39920,2008-03-12
118,5486.0,5373.0,5260.0,5317.0,46390,2008-03-13
119,5260.0,5345.0,5260.0,5345.0,82740,2008-03-14
120,5204.0,5317.0,5204.0,5232.0,128040,2008-03-17
121,4977.0,5147.0,4977.0,5006.0,134940,2008-03-18
122,5006.0,5147.0,4977.0,5006.0,45390,2008-03-19
123,5090.0,5090.0,5006.0,5034.0,87310,2008-03-20
124,5034.0,5034.0,4921.0,4977.0,52050,2008-03-21
125,4779.0,4779.0,4751.0,4751.0,154630,2008-03-24
126,4525.0,4553.0,4525.0,4525.0,178050,2008-03-25
127,4751.0,4751.0,4751.0,4751.0,47960,2008-03-26
128,4779.0,4779.0,4779.0,4779.0,51090,2008-03-27
129,4808.0,4808.0,4808.0,4808.0,2070,2008-03-28
130,4836.0,4836.0,4836.0,4836.0,3020,2008-03-31
131,4864.0,4864.0,4864.0,4864.0,530,2008-04-01
132,4892.0,4892.0,4892.0,4892.0,2360,2008-04-02
133,4921.0,4921.0,4921.0,4921.0,33500,2008-04-03
134,4949.0,4949.0,4949.0,4949.0,52460,2008-04-04
135,5034.0,5034.0,5034.0,5034.0,2670,2008-04-07
136,5119.0,5119.0,5119.0,5119.0,193450,2008-04-08
137,5204.0,5204.0,5204.0,5204.0,22410,2008-04-09
138,5288.0,5288.0,5119.0,5288.0,262980,2008-04-10
139,5204.0,5232.0,5204.0,5232.0,164600,2008-04-11
140,5147.0,5175.0,5147.0,5147.0,136390,2008-04-16
141,5062.0,5232.0,5062.0,5232.0,154750,2008-04-17
142,5317.0,5317.0,5147.0,5147.0,117310,2008-04-18
143,5147.0,5204.0,5090.0,5204.0,82260,2008-04-21
144,5119.0,5204.0,5119.0,5204.0,20670,2008-04-22
145,5119.0,5119.0,5119.0,5119.0,68250,2008-04-23
146,5034.0,5062.0,5034.0,5034.0,97210,2008-04-24
147,4977.0,5119.0,4977.0,5119.0,31170,2008-04-25
148,5175.0,5204.0,5175.0,5204.0,67610,2008-04-28
149,5288.0,5288.0,5204.0,5288.0,142440,2008-04-29
150,5288.0,5317.0,5204.0,5204.0,32320,2008-05-05
151,5119.0,5119.0,5119.0,5119.0,4640,2008-05-06
152,5034.0,5204.0,5034.0,5204.0,92580,2008-05-07
153,5119.0,5204.0,5119.0,5204.0,87260,2008-05-08
154,5119.0,5119.0,5119.0,5119.0,1320,2008-05-09
155,5034.0,5034.0,5034.0,5034.0,660,2008-05-12
156,4949.0,4949.0,4949.0,4949.0,60,2008-05-13
157,4864.0,4864.0,4864.0,4864.0,230,2008-05-14
158,4808.0,4808.0,4779.0,4779.0,4420,2008-05-15
159,4694.0,4694.0,4694.0,4694.0,28510,2008-05-16
