,Open,High,Low,Close,Volume,TradingDate
0,3323.0,4431.0,3323.0,4043.0,138800,2009-11-03
1,4054.0,4098.0,3766.0,3999.0,6600,2009-11-04
2,3988.0,3988.0,3722.0,3722.0,33300,2009-11-05
3,3766.0,3766.0,3467.0,3489.0,10100,2009-11-06
4,3323.0,3323.0,3246.0,3257.0,16600,2009-11-09
5,3035.0,3035.0,3035.0,3035.0,7400,2009-11-10
6,2825.0,2980.0,2825.0,2847.0,80100,2009-11-11
7,2902.0,3035.0,2902.0,2969.0,13200,2009-11-12
8,3102.0,3168.0,2969.0,3146.0,35000,2009-11-13
9,3356.0,3356.0,3323.0,3345.0,40900,2009-11-16
10,3567.0,3567.0,3323.0,3456.0,47600,2009-11-17
11,3489.0,3489.0,3223.0,3290.0,14700,2009-11-18
12,3423.0,3434.0,3212.0,3223.0,9600,2009-11-19
13,3257.0,3257.0,3102.0,3157.0,4300,2009-11-20
14,3323.0,3323.0,2958.0,3057.0,9600,2009-11-23
15,3013.0,3013.0,2958.0,2991.0,21300,2009-11-24
16,2946.0,2946.0,2791.0,2836.0,34700,2009-11-25
17,2882.0,2882.0,2651.0,2732.0,12100,2009-11-26
18,2651.0,2916.0,2594.0,2847.0,20600,2009-11-27
19,2882.0,3032.0,2882.0,2986.0,5100,2009-11-30
20,3112.0,3193.0,3112.0,3182.0,11900,2009-12-01
21,2997.0,2997.0,2963.0,2974.0,5200,2009-12-02
22,2997.0,3101.0,2997.0,3055.0,200,2009-12-03
23,2882.0,2882.0,2882.0,2882.0,2000,2009-12-04
24,2882.0,2997.0,2882.0,2882.0,6300,2009-12-07
25,2824.0,2940.0,2824.0,2836.0,1500,2009-12-08
26,2767.0,2767.0,2663.0,2709.0,5100,2009-12-09
27,2709.0,2709.0,2697.0,2709.0,1400,2009-12-10
28,2709.0,2709.0,2651.0,2663.0,3400,2009-12-11
29,2813.0,2813.0,2813.0,2813.0,1100,2009-12-14
30,2651.0,2674.0,2651.0,2663.0,1500,2009-12-15
31,2536.0,2559.0,2478.0,2490.0,10800,2009-12-16
32,2375.0,2421.0,2375.0,2386.0,4000,2009-12-17
33,2548.0,2548.0,2548.0,2548.0,400,2009-12-18
34,2709.0,2720.0,2594.0,2640.0,800,2009-12-21
35,2767.0,2824.0,2767.0,2813.0,8900,2009-12-22
36,2651.0,2674.0,2651.0,2663.0,2600,2009-12-23
37,2594.0,2813.0,2594.0,2720.0,3000,2009-12-24
38,2767.0,2905.0,2767.0,2859.0,19700,2009-12-25
39,2882.0,2882.0,2767.0,2859.0,2500,2009-12-28
40,2859.0,2859.0,2663.0,2686.0,1100,2009-12-29
41,2686.0,2709.0,2686.0,2686.0,4200,2009-12-30
42,2801.0,2801.0,2801.0,2801.0,100,2009-12-31
43,2882.0,2997.0,2882.0,2986.0,51400,2010-01-04
44,2997.0,3182.0,2824.0,2986.0,8500,2010-01-05
45,2986.0,2986.0,2778.0,2847.0,4600,2010-01-06
46,2651.0,2882.0,2651.0,2836.0,12400,2010-01-07
47,2767.0,2824.0,2640.0,2732.0,14400,2010-01-08
48,2916.0,2916.0,2916.0,2916.0,8000,2010-01-11
49,3112.0,3112.0,3112.0,3112.0,51900,2010-01-12
50,3308.0,3308.0,2905.0,3078.0,36700,2010-01-13
51,3112.0,3112.0,2997.0,3089.0,1300,2010-01-14
