,Open,High,Low,Close,Volume,TradingDate
0,5910.0,5954.0,5516.0,5779.0,566700,2010-12-08
1,6173.0,6173.0,5429.0,5692.0,185600,2010-12-09
2,5867.0,5910.0,5692.0,5779.0,189600,2010-12-10
3,5735.0,6129.0,5516.0,5823.0,177600,2010-12-13
4,5779.0,5867.0,5560.0,5692.0,230100,2010-12-14
5,5692.0,6086.0,5560.0,5779.0,143500,2010-12-15
6,5604.0,5954.0,5604.0,5692.0,108400,2010-12-16
7,5692.0,5910.0,5648.0,5735.0,26500,2010-12-17
8,5735.0,5910.0,5692.0,5823.0,143600,2010-12-20
9,5692.0,5823.0,5560.0,5735.0,124100,2010-12-21
10,5692.0,5779.0,5692.0,5735.0,175600,2010-12-22
11,5604.0,5735.0,5604.0,5692.0,130700,2010-12-23
12,5648.0,5779.0,5648.0,5692.0,163200,2010-12-24
13,5648.0,5823.0,5604.0,5692.0,105600,2010-12-27
14,5692.0,5779.0,5648.0,5735.0,133300,2010-12-28
15,5735.0,5910.0,5735.0,5867.0,84400,2010-12-29
16,5779.0,6261.0,5779.0,6086.0,238900,2010-12-30
17,6480.0,6480.0,6261.0,6480.0,228300,2010-12-31
18,6917.0,6917.0,6917.0,6917.0,14600,2011-01-04
19,7399.0,7399.0,6961.0,7355.0,691600,2011-01-05
20,7574.0,7749.0,7355.0,7399.0,195600,2011-01-06
21,7268.0,7311.0,7136.0,7268.0,120100,2011-01-07
22,6917.0,7136.0,6917.0,7005.0,171300,2011-01-10
23,6917.0,7180.0,6917.0,7005.0,175800,2011-01-11
24,7049.0,7487.0,7049.0,7399.0,228700,2011-01-12
25,7793.0,7881.0,7749.0,7837.0,210300,2011-01-13
26,7924.0,8362.0,7924.0,8275.0,293500,2011-01-14
27,8318.0,8537.0,7793.0,8187.0,156600,2011-01-17
28,7793.0,8756.0,7705.0,8494.0,733000,2011-01-18
29,8187.0,8888.0,8187.0,8581.0,184100,2011-01-19
30,8669.0,8669.0,8012.0,8099.0,217800,2011-01-20
31,7662.0,7968.0,7618.0,7793.0,210600,2011-01-21
32,7443.0,7662.0,7443.0,7530.0,175900,2011-01-24
33,7443.0,7705.0,7355.0,7574.0,193800,2011-01-25
34,7574.0,7793.0,7574.0,7662.0,162200,2011-01-26
35,7662.0,7968.0,7574.0,7837.0,156100,2011-01-27
36,7793.0,7924.0,7793.0,7837.0,79900,2011-01-28
37,7837.0,7881.0,7793.0,7837.0,71700,2011-02-08
38,7793.0,7924.0,7793.0,7837.0,227300,2011-02-09
39,7837.0,8362.0,7793.0,8231.0,535200,2011-02-10
40,8231.0,8800.0,8231.0,8756.0,583400,2011-02-11
41,9063.0,9369.0,8844.0,9238.0,512200,2011-02-14
42,9457.0,9500.0,8756.0,9194.0,385000,2011-02-15
43,9194.0,9194.0,8844.0,8975.0,154400,2011-02-16
44,8975.0,8975.0,8494.0,8581.0,175600,2011-02-17
45,8406.0,8537.0,8318.0,8406.0,198100,2011-02-18
46,8450.0,8450.0,7837.0,8012.0,281700,2011-02-21
47,8012.0,8318.0,8012.0,8187.0,187000,2011-02-22
48,8187.0,8362.0,8099.0,8231.0,180400,2011-02-23
49,8231.0,8318.0,7793.0,8143.0,115600,2011-02-24
50,8099.0,8187.0,7705.0,8056.0,109300,2011-02-25
51,8143.0,8318.0,7924.0,8187.0,119700,2011-02-28
52,8099.0,8143.0,7662.0,7837.0,107500,2011-03-01
53,7837.0,7881.0,7311.0,7574.0,213800,2011-03-02
54,7574.0,7705.0,7311.0,7618.0,58400,2011-03-03
55,7618.0,7881.0,7443.0,7705.0,153300,2011-03-04
56,7705.0,7749.0,7311.0,7662.0,113000,2011-03-07
57,7662.0,7705.0,7136.0,7399.0,101500,2011-03-08
58,7180.0,7705.0,6917.0,7487.0,228800,2011-03-09
59,7487.0,7881.0,7487.0,7749.0,378000,2011-03-10
60,7749.0,8275.0,7749.0,8056.0,327800,2011-03-11
61,8056.0,8187.0,7530.0,8012.0,90300,2011-03-14
62,8012.0,8012.0,7487.0,7662.0,60900,2011-03-15
63,7618.0,7618.0,7224.0,7530.0,117800,2011-03-16
64,7530.0,7662.0,7180.0,7574.0,85800,2011-03-17
65,7574.0,7618.0,7443.0,7530.0,176000,2011-03-18
66,7530.0,8056.0,7530.0,7968.0,415300,2011-03-21
67,8056.0,8494.0,8056.0,8450.0,354700,2011-03-22
68,8450.0,8931.0,8056.0,8625.0,483800,2011-03-23
69,8494.0,8581.0,8056.0,8275.0,135900,2011-03-24
70,8187.0,8187.0,7705.0,7837.0,178200,2011-03-25
71,7705.0,7705.0,7355.0,7487.0,84700,2011-03-28
72,7443.0,7662.0,7443.0,7574.0,127000,2011-03-29
73,7487.0,8012.0,7443.0,7749.0,238900,2011-03-30
74,7881.0,7881.0,7705.0,7793.0,86300,2011-03-31
75,7749.0,7881.0,7530.0,7705.0,91800,2011-04-01
76,7443.0,7705.0,7399.0,7443.0,114000,2011-04-04
77,7530.0,7574.0,7224.0,7399.0,50600,2011-04-05
78,7443.0,7618.0,7399.0,7487.0,142300,2011-04-06
79,7530.0,7618.0,7355.0,7487.0,135900,2011-04-07
80,7487.0,7574.0,7355.0,7487.0,47400,2011-04-08
81,7487.0,7487.0,7268.0,7399.0,62800,2011-04-13
82,7399.0,7443.0,7224.0,7399.0,26900,2011-04-14
83,7355.0,7355.0,7005.0,7180.0,35900,2011-04-15
84,7180.0,7224.0,6742.0,6917.0,115700,2011-04-18
85,6917.0,7005.0,6567.0,6917.0,52100,2011-04-19
86,6874.0,7005.0,6698.0,6917.0,74200,2011-04-20
87,7005.0,7224.0,6655.0,7136.0,104600,2011-04-21
88,7136.0,7355.0,6655.0,7180.0,65400,2011-04-22
89,7180.0,7443.0,7005.0,7355.0,73600,2011-04-25
90,7355.0,7443.0,6874.0,7311.0,46300,2011-04-26
