,Open,High,Low,Close,Volume,TradingDate
0,7709.0,8647.0,7508.0,7800.0,30900,2016-04-12
1,7508.0,7843.0,7508.0,7700.0,66000,2016-04-13
2,7709.0,7709.0,7575.0,7600.0,20100,2016-04-14
3,7575.0,7709.0,7374.0,7600.0,51630,2016-04-15
4,7642.0,7642.0,7508.0,7500.0,56100,2016-04-19
5,7508.0,7910.0,7441.0,7800.0,85130,2016-04-20
6,7575.0,7575.0,7508.0,7500.0,1609,2016-04-21
7,7508.0,7508.0,7441.0,7500.0,16500,2016-04-22
8,7508.0,7508.0,7441.0,7500.0,44200,2016-04-25
9,7508.0,7508.0,7441.0,7500.0,17800,2016-04-26
10,7508.0,7508.0,7441.0,7500.0,35900,2016-04-27
11,7508.0,7508.0,7508.0,7500.0,10300,2016-04-28
12,7441.0,7575.0,7441.0,7500.0,32700,2016-04-29
13,7441.0,7575.0,7441.0,7500.0,43500,2016-05-04
14,7575.0,7575.0,7508.0,7500.0,35700,2016-05-05
15,7575.0,7642.0,7508.0,7600.0,30350,2016-05-06
16,7575.0,7575.0,7508.0,7500.0,35700,2016-05-09
17,7508.0,7508.0,7508.0,7500.0,142,2016-05-10
18,7508.0,7575.0,7508.0,7500.0,41856,2016-05-11
19,7508.0,7508.0,7508.0,7500.0,38159,2016-05-12
20,7508.0,7508.0,7508.0,7500.0,26600,2016-05-13
21,7374.0,7508.0,7374.0,7400.0,24178,2016-05-16
22,7374.0,7374.0,7374.0,7400.0,79850,2016-05-17
23,7374.0,7374.0,7374.0,7400.0,156600,2016-05-18
24,7374.0,7374.0,7374.0,7400.0,72100,2016-05-19
25,7374.0,7508.0,7374.0,7400.0,14200,2016-05-20
26,7441.0,7441.0,7441.0,7400.0,320,2016-05-23
27,7441.0,7575.0,7441.0,7600.0,25000,2016-05-24
28,7508.0,7575.0,7508.0,7500.0,55100,2016-05-25
29,7508.0,7709.0,7374.0,7600.0,43520,2016-05-26
30,7709.0,7709.0,7709.0,7700.0,31,2016-05-27
31,7441.0,7575.0,7441.0,7500.0,31000,2016-05-30
32,7508.0,7508.0,7508.0,7500.0,7000,2016-05-31
33,7508.0,7508.0,7441.0,7500.0,39998,2016-06-01
34,7508.0,7508.0,7508.0,7500.0,8400,2016-06-02
35,7508.0,7709.0,7508.0,7600.0,36200,2016-06-03
36,7508.0,7709.0,7508.0,7600.0,80500,2016-06-06
37,7575.0,7575.0,7575.0,7600.0,24000,2016-06-07
38,7575.0,7776.0,7575.0,7700.0,58400,2016-06-08
39,7709.0,7843.0,7709.0,7800.0,65080,2016-06-09
40,7843.0,7843.0,7843.0,7800.0,65,2016-06-10
41,7776.0,7776.0,7776.0,7800.0,2375,2016-06-13
42,7642.0,7776.0,7642.0,7700.0,8100,2016-06-14
43,7642.0,7709.0,7642.0,7700.0,7000,2016-06-15
44,7575.0,7709.0,7575.0,7700.0,5400,2016-06-16
45,7508.0,7508.0,7441.0,7500.0,3500,2016-06-17
46,7508.0,7575.0,7508.0,7500.0,3462,2016-06-20
47,7575.0,7642.0,7575.0,7600.0,2037,2016-06-21
48,7642.0,7642.0,7575.0,7600.0,2400,2016-06-22
49,7575.0,7575.0,7575.0,7600.0,100,2016-06-23
50,7575.0,7575.0,7508.0,7600.0,13931,2016-06-24
51,7508.0,7508.0,7508.0,7500.0,3542,2016-06-27
52,7508.0,7508.0,7508.0,7500.0,126,2016-06-28
53,7508.0,7508.0,7508.0,7500.0,3814,2016-06-29
54,7508.0,7508.0,7508.0,7500.0,15000,2016-06-30
