,Open,High,Low,Close,Volume,TradingDate
0,20000.0,20000.0,18130.0,18130.0,46010,2008-09-18
1,19000.0,21000.0,19000.0,19037.0,151700,2008-09-19
2,22000.0,22000.0,19943.0,19943.0,40040,2008-09-22
3,20900.0,21900.0,18946.0,18946.0,42210,2008-09-23
4,19900.0,19900.0,18039.0,18039.0,2200,2008-09-24
5,19000.0,19200.0,17224.0,17224.0,138580,2008-09-25
6,18300.0,19500.0,16680.0,16680.0,97680,2008-09-26
7,18400.0,19200.0,17133.0,17133.0,43490,2008-09-29
8,18000.0,18000.0,16317.0,16317.0,31520,2008-09-30
9,17700.0,18000.0,15954.0,15954.0,47210,2008-10-01
10,18000.0,18200.0,16498.0,16498.0,24040,2008-10-02
11,18000.0,18000.0,16317.0,16317.0,25930,2008-10-03
12,17200.0,17200.0,15501.0,15501.0,34760,2008-10-06
13,16300.0,16300.0,14776.0,14776.0,30350,2008-10-07
14,15500.0,16300.0,14051.0,14051.0,41260,2008-10-08
15,15000.0,16000.0,13688.0,13688.0,21110,2008-10-09
16,15500.0,15500.0,13054.0,13054.0,24310,2008-10-10
17,13700.0,14400.0,13054.0,13054.0,9550,2008-10-13
18,15100.0,15100.0,13688.0,13688.0,10,2008-10-14
19,15800.0,15800.0,14323.0,14323.0,12680,2008-10-15
20,15100.0,15200.0,13779.0,13779.0,20750,2008-10-16
21,15600.0,15600.0,13779.0,13779.0,2120,2008-10-17
22,14600.0,15000.0,13235.0,13235.0,4800,2008-10-20
23,14600.0,15200.0,13779.0,13779.0,11310,2008-10-21
24,14500.0,14900.0,13507.0,13507.0,19510,2008-10-22
25,14200.0,14200.0,12872.0,12872.0,15770,2008-10-23
26,13600.0,13800.0,12328.0,12328.0,6880,2008-10-24
27,13000.0,13000.0,11785.0,11785.0,24550,2008-10-27
28,12400.0,12400.0,11241.0,11241.0,10070,2008-10-28
29,12400.0,13000.0,11785.0,11785.0,10770,2008-10-29
30,13600.0,13600.0,12328.0,12328.0,27740,2008-10-30
31,14000.0,14200.0,12872.0,12872.0,16020,2008-10-31
32,14800.0,14800.0,12872.0,12872.0,20700,2008-11-03
33,14200.0,14400.0,13054.0,13054.0,20640,2008-11-04
34,14700.0,15100.0,13688.0,13688.0,23080,2008-11-05
35,14400.0,14700.0,13326.0,13326.0,13910,2008-11-06
36,14000.0,14000.0,12691.0,12691.0,19130,2008-11-07
37,14000.0,14000.0,12691.0,12691.0,4280,2008-11-10
38,12419.0,13700.0,12419.0,12419.0,11000,2008-11-11
39,12147.0,14100.0,12147.0,12147.0,8380,2008-11-12
40,12147.0,13400.0,12147.0,12147.0,14700,2008-11-13
41,13500.0,13500.0,12147.0,12147.0,10960,2008-11-14
42,11875.0,13400.0,11875.0,11875.0,2130,2008-11-17
43,13500.0,13600.0,11603.0,11603.0,8320,2008-11-18
44,12147.0,13400.0,12147.0,12147.0,10,2008-11-19
45,13000.0,13500.0,12238.0,12238.0,9400,2008-11-20
46,11694.0,13300.0,11694.0,11694.0,6000,2008-11-21
47,12600.0,12600.0,11422.0,11422.0,7510,2008-11-24
48,10969.0,12400.0,10969.0,10969.0,8000,2008-11-25
49,10878.0,12000.0,10878.0,10878.0,7150,2008-11-26
50,12600.0,12600.0,10515.0,10515.0,10600,2008-11-27
51,11900.0,12100.0,10969.0,10969.0,8650,2008-11-28
52,12400.0,12400.0,11241.0,11241.0,2290,2008-12-01
53,11059.0,12400.0,11059.0,11059.0,4670,2008-12-02
54,12200.0,12200.0,11059.0,11059.0,16800,2008-12-03
55,11800.0,12200.0,11059.0,11059.0,5520,2008-12-04
56,10878.0,12000.0,10878.0,10878.0,5020,2008-12-05
57,10700.0,10700.0,10700.0,10700.0,3500,2008-12-08
58,10500.0,11000.0,10500.0,10500.0,2010,2008-12-09
59,10300.0,10300.0,10000.0,10100.0,18900,2008-12-10
60,9600.0,10000.0,9600.0,9600.0,22970,2008-12-11
61,10000.0,10000.0,9200.0,10000.0,21690,2008-12-12
62,10400.0,10500.0,10400.0,10500.0,7550,2008-12-15
63,10900.0,10900.0,10300.0,10800.0,9170,2008-12-16
64,10300.0,10800.0,10300.0,10300.0,7600,2008-12-17
65,10400.0,10400.0,10200.0,10400.0,12550,2008-12-18
66,10000.0,10900.0,10000.0,10600.0,11200,2008-12-19
67,10600.0,10700.0,10200.0,10200.0,9100,2008-12-22
68,9700.0,9700.0,9700.0,9700.0,3600,2008-12-23
69,10000.0,10000.0,10000.0,10000.0,10,2008-12-24
70,10200.0,10200.0,9700.0,9700.0,3710,2008-12-25
71,9700.0,9700.0,9700.0,9700.0,14210,2008-12-26
72,10000.0,10100.0,10000.0,10100.0,2220,2008-12-29
73,10200.0,10200.0,9800.0,9800.0,1500,2008-12-30
74,10100.0,10100.0,10000.0,10000.0,820,2008-12-31
75,10000.0,10100.0,9800.0,9800.0,17100,2009-01-02
76,9800.0,9900.0,9700.0,9900.0,3160,2009-01-05
77,10000.0,10000.0,9800.0,10000.0,3050,2009-01-06
78,10200.0,10200.0,10000.0,10200.0,2900,2009-01-07
79,10100.0,10100.0,10000.0,10000.0,2980,2009-01-08
80,9800.0,9800.0,9800.0,9800.0,2000,2009-01-09
81,9600.0,9600.0,9600.0,9600.0,7760,2009-01-12
82,9600.0,9600.0,9400.0,9600.0,10500,2009-01-13
83,9500.0,9500.0,9500.0,9500.0,1000,2009-01-14
84,9300.0,9400.0,9200.0,9400.0,8210,2009-01-15
85,9600.0,9600.0,9600.0,9600.0,400,2009-01-16
86,9900.0,9900.0,9300.0,9300.0,6100,2009-01-19
87,9300.0,9600.0,9100.0,9200.0,1080,2009-01-20
88,9600.0,9600.0,9600.0,9600.0,10,2009-01-21
