,Open,High,Low,Close,Volume,TradingDate
0,7643.0,7643.0,7643.0,7643.0,9000,2014-10-29
1,8386.0,8386.0,8386.0,8386.0,100,2014-10-30
2,9216.0,9216.0,9216.0,9216.0,200,2014-10-31
3,10133.0,10133.0,10133.0,10133.0,119000,2014-11-03
4,10919.0,10843.0,9355.0,10045.0,39900,2014-11-04
5,10264.0,11093.0,10304.0,10919.0,62100,2014-11-05
6,10613.0,10470.0,9694.0,9827.0,31000,2014-11-06
7,10002.0,9794.0,8985.0,9216.0,8100,2014-11-07
8,10002.0,9372.0,8062.0,8648.0,12600,2014-11-10
9,8342.0,8587.0,8093.0,8298.0,23400,2014-11-11
10,7818.0,8104.0,7699.0,7818.0,43900,2014-11-12
11,7556.0,7999.0,7394.0,7469.0,37900,2014-11-13
12,7469.0,7479.0,7042.0,7250.0,21400,2014-11-14
13,7207.0,7723.0,7266.0,7381.0,11900,2014-11-17
14,7381.0,7505.0,7149.0,7207.0,7200,2014-11-18
15,7163.0,7080.0,6778.0,6857.0,9400,2014-11-19
16,7163.0,7886.0,7473.0,7512.0,13500,2014-11-20
17,7425.0,7513.0,7116.0,7425.0,11700,2014-11-21
18,7207.0,7087.0,6958.0,7076.0,23000,2014-11-24
19,6988.0,7185.0,6967.0,6988.0,14900,2014-11-25
20,6988.0,6841.0,6499.0,6639.0,16200,2014-11-26
21,6639.0,6996.0,6772.0,6813.0,4500,2014-11-27
22,6944.0,7283.0,6970.0,7119.0,16200,2014-11-28
23,6901.0,7695.0,7034.0,7119.0,113500,2014-12-01
24,6813.0,7890.0,7148.0,7425.0,47300,2014-12-02
25,7469.0,8474.0,7704.0,8167.0,51500,2014-12-03
26,8211.0,8314.0,7892.0,8167.0,55100,2014-12-04
27,8124.0,8574.0,8128.0,8298.0,48000,2014-12-05
28,8124.0,8169.0,7331.0,7643.0,74500,2014-12-08
29,7250.0,7073.0,6692.0,6901.0,35500,2014-12-09
30,6901.0,7426.0,7111.0,7207.0,37800,2014-12-10
31,7076.0,7112.0,7068.0,7076.0,1900,2014-12-11
32,7076.0,7400.0,7179.0,7250.0,4000,2014-12-12
33,7338.0,7320.0,7189.0,7294.0,12500,2014-12-15
34,7294.0,7428.0,7161.0,7207.0,5200,2014-12-16
35,7076.0,7406.0,7002.0,7119.0,35900,2014-12-17
36,6420.0,7067.0,6147.0,6988.0,8100,2014-12-18
37,7119.0,7164.0,7121.0,7163.0,3400,2014-12-19
38,7119.0,7119.0,7119.0,7119.0,100,2014-12-22
39,6988.0,7171.0,6946.0,6988.0,1500,2014-12-23
40,6988.0,7241.0,6926.0,7032.0,7600,2014-12-24
41,7032.0,6956.0,6654.0,6726.0,11500,2014-12-25
42,6901.0,6799.0,6586.0,6770.0,5300,2014-12-26
43,6595.0,6918.0,6695.0,6770.0,10400,2014-12-29
44,6595.0,7173.0,6808.0,6857.0,21000,2014-12-30
45,6944.0,6944.0,6944.0,6944.0,2200,2014-12-31
46,6944.0,6682.0,6430.0,6682.0,7900,2015-01-05
47,6813.0,6813.0,6813.0,6813.0,300,2015-01-06
48,6813.0,6813.0,6813.0,6813.0,3400,2015-01-07
49,6901.0,6892.0,6804.0,6813.0,4700,2015-01-08
50,6944.0,6944.0,6944.0,6944.0,300,2015-01-09
51,6595.0,6595.0,6595.0,6595.0,2000,2015-01-12
52,6770.0,6896.0,6807.0,6813.0,1200,2015-01-13
53,6813.0,6794.0,6664.0,6726.0,1700,2015-01-14
54,6639.0,6639.0,6639.0,6639.0,1700,2015-01-15
55,6857.0,6857.0,6857.0,6857.0,200,2015-01-16
56,6682.0,6867.0,6692.0,6857.0,16400,2015-01-19
57,6857.0,7453.0,6965.0,7250.0,70900,2015-01-20
58,7250.0,7382.0,7161.0,7294.0,300,2015-01-21
59,7425.0,7601.0,7427.0,7469.0,30500,2015-01-22
60,7294.0,7610.0,7432.0,7469.0,14500,2015-01-23
61,7469.0,7527.0,7395.0,7469.0,21000,2015-01-26
62,7469.0,7387.0,7084.0,7163.0,41100,2015-01-27
63,7294.0,7346.0,7303.0,7338.0,2500,2015-01-28
64,7381.0,7432.0,7036.0,7381.0,12200,2015-01-29
65,7381.0,7381.0,7381.0,7381.0,0,2015-01-30
66,6988.0,6857.0,6729.0,6857.0,9500,2015-02-02
67,6857.0,6857.0,6857.0,6857.0,3200,2015-02-03
68,6726.0,6704.0,6487.0,6551.0,29900,2015-02-04
69,6508.0,6794.0,6524.0,6595.0,17400,2015-02-05
70,6595.0,6774.0,6641.0,6682.0,4100,2015-02-06
71,6682.0,6778.0,6690.0,6726.0,2700,2015-02-09
72,6682.0,6824.0,6736.0,6770.0,1500,2015-02-10
73,6857.0,7155.0,6977.0,6988.0,4400,2015-02-11
74,6770.0,7148.0,6924.0,6988.0,1500,2015-02-12
75,6988.0,6988.0,6988.0,6988.0,3700,2015-02-13
76,7119.0,7119.0,7119.0,7119.0,600,2015-02-24
77,6944.0,6885.0,6713.0,6813.0,14700,2015-02-25
78,6813.0,6823.0,6735.0,6813.0,5700,2015-02-26
79,6901.0,6857.0,6814.0,6857.0,6000,2015-02-27
80,6857.0,6943.0,6899.0,6901.0,3000,2015-03-02
81,6901.0,6997.0,6910.0,6944.0,6000,2015-03-03
82,6988.0,7025.0,6982.0,6988.0,6000,2015-03-04
83,6988.0,7003.0,6959.0,6988.0,6000,2015-03-05
84,6988.0,6988.0,6988.0,6988.0,22100,2015-03-06
85,6988.0,7531.0,7215.0,7294.0,13700,2015-03-09
86,7294.0,7227.0,7098.0,7207.0,8500,2015-03-10
87,7207.0,7294.0,7250.0,7250.0,800,2015-03-11
88,7163.0,7461.0,7237.0,7250.0,19100,2015-03-12
89,7250.0,7119.0,6991.0,7119.0,6000,2015-03-13
90,7207.0,7597.0,7330.0,7469.0,5700,2015-03-16
91,7425.0,7476.0,7432.0,7469.0,6300,2015-03-17
92,7512.0,8079.0,7720.0,7818.0,47900,2015-03-18
93,7818.0,7818.0,7818.0,7818.0,0,2015-03-19
94,7818.0,7798.0,7754.0,7774.0,17300,2015-03-20
95,7731.0,7775.0,7688.0,7731.0,12800,2015-03-23
96,7425.0,8077.0,7712.0,7731.0,18600,2015-03-24
97,7250.0,8262.0,7702.0,7731.0,5200,2015-03-25
98,7731.0,7731.0,7731.0,7731.0,0,2015-03-26
99,7731.0,7731.0,7731.0,7731.0,0,2015-03-27
100,7294.0,7185.0,7013.0,7119.0,11600,2015-03-30
101,7119.0,7606.0,7336.0,7381.0,600,2015-03-31
102,7425.0,7452.0,7276.0,7338.0,21600,2015-04-01
103,7338.0,7585.0,7365.0,7469.0,44500,2015-04-02
104,7469.0,7473.0,7386.0,7425.0,19000,2015-04-03
105,7512.0,7474.0,7387.0,7425.0,22200,2015-04-06
106,7512.0,7522.0,7479.0,7512.0,11100,2015-04-07
107,7556.0,7602.0,7515.0,7556.0,40400,2015-04-08
108,7600.0,7725.0,7593.0,7643.0,38700,2015-04-09
109,7687.0,7951.0,7775.0,7862.0,34200,2015-04-10
110,7862.0,7832.0,7703.0,7774.0,24300,2015-04-13
111,7774.0,7774.0,7774.0,7774.0,4600,2015-04-14
112,8267.0,8215.0,7726.0,7775.0,7200,2015-04-15
113,7824.0,7832.0,7536.0,7578.0,8100,2015-04-16
114,7824.0,7820.0,7574.0,7578.0,8400,2015-04-17
115,7725.0,7861.0,7561.0,7627.0,13300,2015-04-20
116,7430.0,7661.0,7512.0,7529.0,4600,2015-04-21
117,7578.0,7804.0,7500.0,7529.0,5700,2015-04-22
118,7332.0,7630.0,7479.0,7479.0,4100,2015-04-23
119,7479.0,7644.0,7443.0,7479.0,1600,2015-04-24
120,7086.0,7766.0,7357.0,7479.0,1800,2015-04-27
121,7479.0,7669.0,7265.0,7381.0,14200,2015-05-04
122,7479.0,7631.0,7280.0,7381.0,4400,2015-05-05
123,7184.0,7482.0,7332.0,7332.0,2100,2015-05-06
124,7184.0,7583.0,7381.0,7381.0,300,2015-05-07
125,7430.0,7435.0,7288.0,7381.0,3000,2015-05-08
126,7381.0,7381.0,7381.0,7381.0,0,2015-05-11
127,7479.0,7611.0,7260.0,7381.0,6000,2015-05-12
128,7381.0,7381.0,7381.0,7381.0,2000,2015-05-13
129,7381.0,7381.0,7381.0,7381.0,1000,2015-05-14
130,7381.0,7381.0,7381.0,7381.0,0,2015-05-15
131,7135.0,7636.0,7381.0,7381.0,700,2015-05-18
132,7135.0,7636.0,7381.0,7381.0,700,2015-05-19
133,7135.0,7135.0,7135.0,7135.0,2600,2015-05-20
134,7135.0,7135.0,7135.0,7135.0,2100,2015-05-21
135,7135.0,7135.0,7135.0,7135.0,3000,2015-05-22
136,7135.0,7377.0,7179.0,7184.0,4500,2015-05-25
137,7233.0,7293.0,7244.0,7283.0,1400,2015-05-26
138,7184.0,7184.0,7184.0,7184.0,4900,2015-05-27
139,7184.0,7457.0,7307.0,7332.0,600,2015-05-28
140,7332.0,7332.0,7332.0,7332.0,0,2015-05-29
141,7332.0,7332.0,7332.0,7332.0,1200,2015-06-01
142,7184.0,7178.0,7129.0,7135.0,2200,2015-06-02
143,7184.0,7181.0,7132.0,7135.0,1600,2015-06-03
144,7135.0,7135.0,7135.0,7135.0,2100,2015-06-04
145,7135.0,7135.0,7135.0,7135.0,0,2015-06-05
146,6938.0,7251.0,6693.0,6987.0,16600,2015-06-08
147,6938.0,7066.0,6919.0,6987.0,5200,2015-06-09
148,7037.0,7028.0,6979.0,6987.0,600,2015-06-10
149,6987.0,6987.0,6987.0,6987.0,200,2015-06-11
150,6987.0,7166.0,6863.0,6987.0,1700,2015-06-12
151,7381.0,7393.0,6906.0,7086.0,13100,2015-06-15
152,7381.0,7328.0,7230.0,7283.0,3700,2015-06-16
153,7283.0,7283.0,7283.0,7283.0,0,2015-06-17
154,6938.0,6938.0,6938.0,6938.0,2100,2015-06-18
155,7332.0,7332.0,7332.0,7332.0,200,2015-06-19
156,7824.0,7792.0,7547.0,7627.0,1100,2015-06-22
157,7627.0,7627.0,7627.0,7627.0,0,2015-06-23
158,7627.0,7627.0,7627.0,7627.0,0,2015-06-24
159,7627.0,7627.0,7627.0,7627.0,0,2015-06-25
160,7627.0,7627.0,7627.0,7627.0,0,2015-06-26
161,7627.0,7627.0,7627.0,7627.0,0,2015-06-29
162,7627.0,7627.0,7627.0,7627.0,0,2015-06-30
163,7627.0,7627.0,7627.0,7627.0,0,2015-07-01
164,7627.0,7627.0,7627.0,7627.0,0,2015-07-02
165,7283.0,7283.0,7283.0,7283.0,300,2015-07-03
166,7283.0,7283.0,7283.0,7283.0,0,2015-07-06
167,7283.0,7283.0,7283.0,7283.0,1000,2015-07-07
168,7283.0,7283.0,7283.0,7283.0,0,2015-07-08
169,7086.0,7485.0,7283.0,7283.0,2200,2015-07-09
170,7037.0,7170.0,6971.0,7086.0,7400,2015-07-10
171,7283.0,7283.0,7283.0,7283.0,100,2015-07-13
172,7283.0,7283.0,7283.0,7283.0,0,2015-07-14
173,7283.0,7283.0,7283.0,7283.0,0,2015-07-15
174,7283.0,7283.0,7283.0,7283.0,0,2015-07-16
175,7283.0,7283.0,7283.0,7283.0,0,2015-07-17
176,6692.0,7875.0,7232.0,7233.0,5100,2015-07-20
177,7233.0,7233.0,7233.0,7233.0,0,2015-07-21
178,7135.0,7135.0,7135.0,7135.0,8000,2015-07-22
179,7184.0,7230.0,6984.0,7135.0,10200,2015-07-23
180,6987.0,7286.0,7135.0,7135.0,3100,2015-07-24
181,7184.0,7135.0,7086.0,7135.0,200,2015-07-27
182,7135.0,7206.0,7057.0,7086.0,6100,2015-07-28
183,7086.0,7175.0,6976.0,7086.0,2300,2015-07-29
184,7037.0,7135.0,7086.0,7086.0,500,2015-07-30
185,7086.0,7037.0,6988.0,7037.0,700,2015-07-31
186,7037.0,7037.0,7037.0,7037.0,200,2015-08-03
187,7037.0,7085.0,7036.0,7037.0,13900,2015-08-04
188,7086.0,7037.0,6988.0,7037.0,300,2015-08-05
189,7086.0,7211.0,7064.0,7086.0,14400,2015-08-06
190,7086.0,7091.0,7042.0,7086.0,1200,2015-08-07
191,7135.0,7127.0,7077.0,7086.0,3100,2015-08-10
192,7135.0,7174.0,7124.0,7135.0,2800,2015-08-11
193,7037.0,7070.0,7020.0,7037.0,7300,2015-08-12
194,7086.0,7086.0,7086.0,7086.0,3200,2015-08-13
195,7135.0,7135.0,7135.0,7135.0,100,2015-08-14
196,7135.0,7185.0,7036.0,7086.0,500,2015-08-17
197,6938.0,7237.0,7086.0,7086.0,300,2015-08-18
198,7086.0,7086.0,7086.0,7086.0,100,2015-08-19
199,7086.0,7086.0,7086.0,7086.0,0,2015-08-20
200,6889.0,7288.0,7086.0,7086.0,11100,2015-08-21
201,6889.0,7020.0,6871.0,6938.0,3800,2015-08-24
202,6938.0,6938.0,6938.0,6938.0,0,2015-08-25
203,6987.0,6987.0,6987.0,6987.0,100,2015-08-26
204,6987.0,6987.0,6987.0,6987.0,0,2015-08-27
205,6987.0,6987.0,6987.0,6987.0,0,2015-08-28
206,6987.0,6987.0,6987.0,6987.0,0,2015-08-31
207,6840.0,7113.0,6962.0,6987.0,1200,2015-09-01
208,6889.0,7087.0,6987.0,6987.0,1500,2015-09-03
209,6987.0,6987.0,6987.0,6987.0,0,2015-09-04
210,6987.0,7086.0,7037.0,7037.0,1300,2015-09-07
211,7037.0,7037.0,7037.0,7037.0,1500,2015-09-08
212,6889.0,7062.0,6963.0,6987.0,400,2015-09-09
213,6987.0,6889.0,6792.0,6889.0,700,2015-09-10
